Vin_1A_H,Vin_1B_H,Vin_1A_L,Vin_1B_L,Vou_1A_dH,Vou_1B_dH,Vou_1A_dL,Vou_1B_dL,Vou_2A_uH,Vou_2B_uH,Vou_2A_uL,Vou_2B_uL
-1,1,-1,1,-0.6904879,0.7181476,-0.8172905,0.3723504,-0.449205,0.8826439,-0.7166707,0.7063789
-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.6904863,0.7181487,-0.8172903,0.3723526,-0.4492049,0.8826438,-0.7166707,0.7063787
-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.6904926,0.7181448,-0.8172911,0.372344,-0.4492021,0.8826439,-0.7166695,0.7063804
-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.6905043,0.7181368,-0.8172926,0.3723274,-0.4492134,0.8826432,-0.7166756,0.706374
-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.6904262,0.7182001,-0.8172776,0.3724353,-0.4490869,0.8826445,-0.7166191,0.7064221
0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.4018783,-0.8241216,0.7136835,-0.703314,0.6953013,-0.7242236,0.8744724,-0.4260666
0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.4018506,-0.8241223,0.7136749,-0.7033237,0.6952801,-0.7242405,0.8744685,-0.4260854
0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.4018397,-0.8241225,0.7136717,-0.7033275,0.6952739,-0.7242455,0.8744674,-0.4260912
0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.4018627,-0.824122,0.7136785,-0.7033198,0.6952885,-0.7242337,0.8744701,-0.4260779
1,-1,1,-1,0.4018627,-0.824122,0.7136785,-0.7033198,0.6952885,-0.7242337,0.8744701,-0.4260779
